OBJECTID,Ditch_Name,MaintDate
15119,103 SPAULDING,Received Third Cut
15089,251 W FLEMING RD,Received Third Cut
15008,3021 BOXWOOD DR,Received Third Cut
15128,4103 SPAULDING,Received Third Cut
15110,4128 PIEDMONT DR,Received Third Cut
14956,439 CONRAD ST,Received Third Cut
15012,552 S BAINBRIDGE,Received Third Cut
14960,AGATE ST,Received Third Cut
14926,AIMEE DR,Received Third Cut
14867,AIRBASE BLVD,Received Third Cut
14973,ALAMO DR,Received Third Cut
14931,ALAMONT DR,Received Third Cut
14965,ALEXANDER ST,Received Third Cut
15063,ALMA DR,Received Third Cut
14945,AMANDA LN,Received Third Cut
15022,AMITY LN,Received Third Cut
15056,APRIL ST,Received Third Cut
15101,ARDEN RD,Received Third Cut
14962,ARDMORE,Received Third Cut
14976,ARGYLE RD,Received Third Cut
15087,ARROWHEAD FOREST CT,Received Third Cut
15037,ARTHUR ST,Received Third Cut
14913,ASBURY LN,Received Third Cut
15084,AUM,Received Second Cut
15041,AUTUMN RIDGE RD,Received Third Cut
14793,AVONDALE DITCH,Received Third Cut
14919,AVONDALE RD,Received Third Cut
14997,BALBOA RD,Received Third Cut
14880,BALDWIN BROOK DR,Received Third Cut
15102,BALDWIN SLOUGH,Received Second Cut
15105,BALDWIN SLOUGH,Received Third Cut
15023,BALFOUR RD,Received Third Cut
14971,BANCROFT AVE,Received Third Cut
14872,BARBY RD,Received Third Cut
14990,BEAR ELEMENTERY,Received Third Cut
14852,BEARDSLEY DR,Received Third Cut
15032,BEDFORD LN,Received Third Cut
14835,BELL RD,Received Third Cut
14860,BELL ST,Received Second Cut
14981,BENNETT DR,Received Third Cut
14900,BETH MANOR,Received Third Cut
14979,BIENVILLE RD,Received Third Cut
15019,BOWLING GREEN DR,Received Third Cut
15066,BOWMAN ST,Received Third Cut
14806,BOXWOOD DITCH,Received Third Cut
15099,BOYKIN PL,Received Third Cut
14936,BOYS CLUB RD,Received Third Cut
15094,BRADLEY DR,Received Third Cut
14975,BRAEBURN RD,Received Third Cut
15117,BREWBAKER BLVD,Received Third Cut
14925,BRIDLE PATH LN,Received Third Cut
14894,BRIMWOOD CT,Received Third Cut
15026,BROADVIEW ST,Received Third Cut
14958,BROOKVIEW DR,Received Third Cut
15070,BROOKVIEW/FORBES,Received Third Cut
14970,BUCKINGHAM DR-COVENTRY RD,Received Third Cut
14946,BURBANK - YESTERHOUSE,Received Third Cut
14814,BURKELAUN DR,Received Third Cut
14828,BUSINESS PARK DR,Scheduled to be cut
14795,CAROL VILLA DR,Received Third Cut
14823,CARRIAGE BROOK,Received Third Cut
15005,CARRIAGE PL,Received Third Cut
14874,CATER DR,Received Third Cut
14854,CEDRIC CT-LYMAN CT,Received Third Cut
