issue_type,latitude,longitude,date,data_source
Drains,32.387676,-86.232888,2021/1/1 0:06,311_Service_Request
General Sanitation Inquiry,32.3952613,-86.2352616,2021/1/1 2:21,311_Service_Request
Nuisance,32.3571,-86.3187,2021/1/3 15:21,311_Service_Request
Nuisance,32.3877408,-86.2755452,2021/1/4 13:23,311_Service_Request
Clean Inlets,32.3736737,-86.2502025,2021/1/4 14:41,311_Service_Request
Nuisance,32.3439529,-86.3605971,2021/1/4 15:57,311_Service_Request
Clean Inlets,32.3683572,-86.2557571,2021/1/4 16:21,311_Service_Request
Clean Inlets,32.3603044,-86.2494127,2021/1/4 16:33,311_Service_Request
Nuisance,32.3194906,-86.2307764,2021/1/4 16:40,311_Service_Request
General Sanitation Inquiry,32.3905654,-86.2341304,2021/1/4 16:44,311_Service_Request
Clean Inlets,32.3998843,-86.2607557,2021/1/4 16:44,311_Service_Request
Nuisance,32.3439424,-86.2538527,2021/1/4 17:17,311_Service_Request
Nuisance,32.4164264,-86.2822917,2021/1/4 18:36,311_Service_Request
Clean Inlets,32.3874474,-86.2481789,2021/1/4 18:55,311_Service_Request
Clean Inlets,32.3674113,-86.2401274,2021/1/4 20:29,311_Service_Request
Nuisance,32.3603967,-86.3007269,2021/1/4 20:49,311_Service_Request
Nuisance,32.4271403,-86.2815383,2021/1/4 21:02,311_Service_Request
Nuisance,32.3474634,-86.3363888,2021/1/4 21:19,311_Service_Request
Nuisance,32.3461518,-86.291636,2021/1/4 22:23,311_Service_Request
Nuisance,32.3809553,-86.2557967,2021/1/5 14:10,311_Service_Request
Nuisance,32.3226902,-86.3131718,2021/1/5 14:27,311_Service_Request
Nuisance,32.3387051,-86.2997755,2021/1/5 14:33,311_Service_Request
Clean Inlets,32.3356585,-86.2205942,2021/1/5 15:12,311_Service_Request
Nuisance,32.3148712,-86.3883286,2021/1/5 15:39,311_Service_Request
Clean Inlets,32.3448177,-86.2760262,2021/1/5 15:54,311_Service_Request
Nuisance,32.337182,-86.36426,2021/1/5 16:12,311_Service_Request
Nuisance,32.3576938,-86.3202252,2021/1/5 17:31,311_Service_Request
Clean Inlets,32.3434252,-86.2359313,2021/1/5 17:34,311_Service_Request
Nuisance,32.3404881,-86.3199874,2021/1/5 17:34,311_Service_Request
Nuisance,32.3177572,-86.1390557,2021/1/5 17:39,311_Service_Request
General Sanitation Inquiry,32.3821691,-86.2774538,2021/1/5 18:37,311_Service_Request
Clean Inlets,32.3279754,-86.3116819,2021/1/5 18:56,311_Service_Request
Clean Inlets,32.4024124,-86.2177189,2021/1/5 20:08,311_Service_Request
Clean Inlets,32.3537927,-86.3166501,2021/1/5 21:26,311_Service_Request
Clean Inlets,32.3539667,-86.318244,2021/1/5 21:30,311_Service_Request
Clean Inlets,32.3350177,-86.2705531,2021/1/5 21:34,311_Service_Request
Clean Inlets,32.3424266,-86.3045716,2021/1/6 15:09,311_Service_Request
Clean Inlets,32.3769704,-86.1155765,2021/1/6 16:14,311_Service_Request
Nuisance,32.3373271,-86.2814193,2021/1/6 17:39,311_Service_Request
General Sanitation Inquiry,32.3742792,-86.1287031,2021/1/6 19:56,311_Service_Request
Nuisance,32.3083046,-86.2390792,2021/1/6 20:10,311_Service_Request
Nuisance,32.3875084,-86.2390716,2021/1/6 21:06,311_Service_Request
Clean Inlets,32.3913976,-86.2271414,2021/1/6 21:28,311_Service_Request
General Sanitation Inquiry,32.3894572,-86.1782132,2021/1/6 21:35,311_Service_Request
Nuisance,32.3334243,-86.255519,2021/1/6 22:00,311_Service_Request
Nuisance,32.3923399,-86.1984182,2021/1/7 15:45,311_Service_Request
Nuisance,32.3763023,-86.2688476,2021/1/7 17:25,311_Service_Request
Nuisance,32.3793266,-86.2694822,2021/1/7 17:28,311_Service_Request
Nuisance,32.3585169,-86.3686213,2021/1/7 17:31,311_Service_Request
Nuisance,32.37644,-86.2682725,2021/1/7 17:36,311_Service_Request
