USER_Siren_Number,USER_Street_Address,historical_incident_count
5301115,2001 W. Fairview Av.,7251
5301218,307 E. Vandiver Blvd,5976
5301125,400 Mobile St.,4395
5301230,1837 Upper Wetumpka Rd,4005
5301524,4010 Norman Bridge Rd.,3626
5301254,Ann St. @ Spruce St.,3053
5301255,2811 Willena Ave.,1982
5301234,1329 E. Fairview Av.,1916
5301247,440 Dalraida Rd,1896
5301236,3510 Harrison Rd.,1460
5301205,6425 Wares Ferry Rd.,1425
5301249,2685 Bell Rd.,1403
5301157,Schley St. @ Rice St.,1379
5301207,209 Perry Hill Rd.,1329
5301243,5345 Atlanta Hwy,1303
5301450,970 W. South Blvd.,1265
5301548,3510 Woodley Rd,1196
5301545,3041 Eastern Blvd,1128
5301542,4450 Narrow Lane Rd.,1110
5301452,5225 Patricia Lane,987
5301529,4055 Fitzpatrick Blvd.,922
5301576,5000 Troy Hwy.,828
5301517,3425 Carter Hill Rd.,782
5301123,3315 Hayneville Rd.,760
5301231,5055 Carmichael Rd.,692
5301206,Vaughn Rd. @ Perry Hill Rd,680
5301275,300 Brown Springs Rd.,657
5301308,4000 Fieldcrest Dr.,623
5301551,4425 Brewbaker Dr.,519
5301156,201 6th St.,448
5301510,Vaughn Rd. @ Taylor Rd.,309
5301311,8700 Minnie Brown Rd.,301
5301101,375 Hunter Loop Rd,292
5301438,4655 Gateway Dr.,280
5301312,50 Ocala Dr.,233
5301220,7700 blk. Atlanta Hwy.,210
5301253,3670 Coosada Ferry Rd.,204
5301277,1501 Parkview Dr. South,157
5301528,820 Ray Thorington Rd.,138
5301532,Troy Hwy. @ Taylor Ridge Rd.,84
5301214,3425 Old Wetumpka Hwy,84
5301237,7300 University Dr.,70
5301113,Birmingham Highway @ Twin Lakes Pkwy,65
5302944,393 Moore Rd.,41
5301526,Vaughn Rd. @ Wynlakes Blvd.,41
5301122,102 Erin Lane,33
5301603,264 Foxhall Rd.,11
5301369,13260 Edna Brake Lucas Dr.,11
5301321,696 Georgia Washington Rd.,7
5301462,East McLean Road @ US Highway 31,1
